variable,location,support,missing_pct
humidity_9am,Walpole,2831,0.012363122571529495
humidity_9am,BadgerysCreek,2940,0.009863945578231292
humidity_9am,Wollongong,2995,0.007345575959933222
humidity_9am,Ballarat,3040,0.006907894736842105
humidity_9am,Tuggeranong,3010,0.006644518272425249
humidity_9am,Sale,3012,0.0063081009296148734
humidity_9am,PearceRAAF,2774,0.0061283345349675555
humidity_9am,NorahHead,2941,0.005780346820809248
humidity_9am,Woomera,3002,0.0043304463690872754
humidity_9am,Watsonia,3011,0.004317502490866822
humidity_9am,Sydney,3349,0.0041803523439832785
humidity_9am,MountGambier,3042,0.003616042077580539
humidity_9am,GoldCoast,2992,0.0033422459893048127
humidity_9am,Nuriootpa,3014,0.0033178500331785005
humidity_9am,Hobart,3200,0.003125
humidity_9am,Perth,3205,0.0028081123244929796
humidity_9am,Williamtown,2565,0.0027290448343079924
humidity_9am,MelbourneAirport,3021,0.0026481297583581596
humidity_9am,CoffsHarbour,2965,0.002360876897133221
humidity_9am,Uluru,1533,0.0019569471624266144
humidity_9am,NorfolkIsland,2976,0.0016801075268817205
humidity_9am,Bendigo,3046,0.0016414970453053185
humidity_9am,Adelaide,3102,0.0016118633139909735
humidity_9am,Moree,2866,0.0013956734124214933
humidity_9am,Albury,3023,0.0013231888852133643
humidity_9am,Launceston,3040,0.0013157894736842105
humidity_9am,Melbourne,2447,0.0012259910093992644
humidity_9am,WaggaWagga,2988,0.001004016064257028
humidity_9am,Mildura,3019,0.0009937065253395165
humidity_9am,AliceSprings,3043,0.000985869208018403
humidity_9am,SalmonGums,2967,0.0006740815638692282
humidity_9am,SydneyAirport,3017,0.0006629101756711965
humidity_9am,Brisbane,3173,0.0006303183107469272
humidity_9am,Darwin,3204,0.00031210986267166043
humidity_9am,Cairns,3000,0.0
humidity_9am,Nhil,1581,0.0
humidity_9am,PerthAirport,3021,0.0
humidity_9am,Townsville,3045,0.0
max_temp,Newcastle,2967,0.053926525109538256
max_temp,Katherine,1571,0.014003819223424571
max_temp,Albany,3028,0.010568031704095112
max_temp,PearceRAAF,2774,0.005767844268204758
max_temp,MountGinini,2919,0.004796163069544364
max_temp,Walpole,2831,0.002472624514305899
max_temp,Nuriootpa,3014,0.00232249502322495
max_temp,Richmond,2963,0.0020249746878164025
max_temp,CoffsHarbour,2965,0.002023608768971332
max_temp,NorahHead,2941,0.0017001020061203672
max_temp,Witchcliffe,2964,0.0016869095816464238
max_temp,SalmonGums,2967,0.0013481631277384564
max_temp,Brisbane,3173,0.0012606366214938543
max_temp,Williamtown,2565,0.0011695906432748538
max_temp,BadgerysCreek,2940,0.0010204081632653062
max_temp,Wollongong,2995,0.001001669449081803
max_temp,Launceston,3040,0.000986842105263158
max_temp,Canberra,3430,0.0008746355685131195
max_temp,Woomera,3002,0.0006662225183211193
max_temp,Adelaide,3102,0.0006447453255963894
max_temp,Sydney,3349,0.0005971931919976113
max_temp,Melbourne,2447,0.0004086636697997548
max_temp,GoldCoast,2992,0.00033422459893048126
max_temp,Cobar,3000,0.0003333333333333333
max_temp,Portland,3008,0.0003324468085106383
max_temp,Tuggeranong,3010,0.0003322259136212625
max_temp,Sale,3012,0.00033200531208499334
max_temp,Albury,3023,0.0003307972213033411
max_temp,Ballarat,3040,0.0003289473684210526
max_temp,MountGambier,3042,0.0003287310979618672
max_temp,AliceSprings,3043,0.00032862306933946765
max_temp,Bendigo,3046,0.00032829940906106366
max_temp,Hobart,3200,0.0003125
max_temp,Perth,3205,0.00031201248049921997
max_temp,Cairns,3000,0.0
max_temp,Dartmoor,2955,0.0
max_temp,Darwin,3204,0.0
max_temp,MelbourneAirport,3021,0.0
max_temp,Mildura,3019,0.0
max_temp,Moree,2866,0.0
max_temp,Nhil,1581,0.0
max_temp,NorfolkIsland,2976,0.0
max_temp,Penrith,2976,0.0
max_temp,PerthAirport,3021,0.0
max_temp,SydneyAirport,3017,0.0
max_temp,Townsville,3045,0.0
max_temp,Uluru,1533,0.0
max_temp,WaggaWagga,2988,0.0
max_temp,Watsonia,3011,0.0
min_temp,Newcastle,2967,0.09639366363329963
min_temp,Katherine,1571,0.028007638446849142
min_temp,MountGinini,2919,0.019527235354573486
min_temp,Albany,3028,0.019484808454425365
min_temp,PearceRAAF,2774,0.007930785868781542
min_temp,Walpole,2831,0.0042387848816672555
min_temp,BadgerysCreek,2940,0.004081632653061225
min_temp,Richmond,2963,0.004049949375632805
min_temp,Wollongong,2995,0.003672787979966611
min_temp,Nuriootpa,3014,0.0036496350364963502
min_temp,NorahHead,2941,0.0034002040122407345
min_temp,Penrith,2976,0.003360215053763441
min_temp,Portland,3008,0.0029920212765957447
min_temp,Witchcliffe,2964,0.002699055330634278
min_temp,SalmonGums,2967,0.0023592854735422987
min_temp,Dartmoor,2955,0.0020304568527918783
min_temp,Watsonia,3011,0.0019926934573231483
min_temp,Albury,3023,0.0019847833278200462
min_temp,Uluru,1533,0.0019569471624266144
min_temp,Brisbane,3173,0.0018909549322407816
min_temp,Canberra,3430,0.0014577259475218659
min_temp,Cobar,3000,0.0013333333333333333
min_temp,Woomera,3002,0.0013324450366422385
min_temp,Launceston,3040,0.000986842105263158
min_temp,Sydney,3349,0.0008957897879964168
min_temp,Moree,2866,0.0006978367062107466
min_temp,CoffsHarbour,2965,0.0006745362563237774
min_temp,Townsville,3045,0.0006568144499178982
min_temp,Adelaide,3102,0.0006447453255963894
min_temp,Melbourne,2447,0.0004086636697997548
min_temp,Williamtown,2565,0.0003898635477582846
min_temp,NorfolkIsland,2976,0.0003360215053763441
min_temp,GoldCoast,2992,0.00033422459893048126
min_temp,Cairns,3000,0.0003333333333333333
min_temp,Tuggeranong,3010,0.0003322259136212625
min_temp,Sale,3012,0.00033200531208499334
min_temp,SydneyAirport,3017,0.00033145508783559825
min_temp,Ballarat,3040,0.0003289473684210526
min_temp,MountGambier,3042,0.0003287310979618672
min_temp,AliceSprings,3043,0.00032862306933946765
min_temp,Bendigo,3046,0.00032829940906106366
min_temp,Darwin,3204,0.00031210986267166043
min_temp,Hobart,3200,0.0
min_temp,MelbourneAirport,3021,0.0
min_temp,Mildura,3019,0.0
min_temp,Nhil,1581,0.0
min_temp,Perth,3205,0.0
min_temp,PerthAirport,3021,0.0
min_temp,WaggaWagga,2988,0.0
pressure_3pm,Penrith,2976,0.9959677419354839
pressure_3pm,Newcastle,2967,0.9959555106167847
pressure_3pm,SalmonGums,2967,0.9959555106167847
pressure_3pm,MountGinini,2919,0.9958890030832477
pressure_3pm,Launceston,3040,0.3769736842105263
pressure_3pm,CoffsHarbour,2965,0.08971332209106239
pressure_3pm,Canberra,3430,0.0641399416909621
pressure_3pm,BadgerysCreek,2940,0.050340136054421766
pressure_3pm,Witchcliffe,2964,0.044534412955465584
pressure_3pm,PearceRAAF,2774,0.008651766402307137
pressure_3pm,Cobar,3000,0.008333333333333333
pressure_3pm,Albany,3028,0.007926023778071334
pressure_3pm,Ballarat,3040,0.007894736842105263
pressure_3pm,Richmond,2963,0.0077624029699628755
pressure_3pm,Wollongong,2995,0.006343906510851419
pressure_3pm,Sydney,3349,0.005673335323977307
pressure_3pm,Sale,3012,0.0049800796812749
pressure_3pm,Woomera,3002,0.004663557628247834
pressure_3pm,Williamtown,2565,0.0035087719298245615
pressure_3pm,Portland,3008,0.003324468085106383
pressure_3pm,Tuggeranong,3010,0.0033222591362126247
pressure_3pm,Katherine,1571,0.003182686187141948
pressure_3pm,Bendigo,3046,0.002954694681549573
pressure_3pm,NorahHead,2941,0.0027201632097925877
pressure_3pm,Nuriootpa,3014,0.0026542800265428003
pressure_3pm,Adelaide,3102,0.002256608639587363
pressure_3pm,MountGambier,3042,0.001643655489809336
pressure_3pm,Albury,3023,0.0013231888852133643
pressure_3pm,Melbourne,2447,0.0012259910093992644
pressure_3pm,SydneyAirport,3017,0.0009943652635067948
